,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,doc_url,dependent_project_count,github_dependent_project_count,home_page,pypi_id,pypi_url,pypi_monthly_downloads,gitlab_id,gitlab_url
0,PX4,PX4/PX4-Autopilot,[],autopilot,https://github.com/PX4/PX4-Autopilot,https://github.com/PX4/PX4-Autopilot,BSD-3-Clause,2012-08-04 21:19:36,2025-09-12 03:30:27,2025-09-12 03:30:27,47876.0,516.0,13436.0,468.0,17235.0,1575.0,6704.0,10103.0,2025-08-06 17:26:44,1.16.0,176762.0,1578.0,100.0,PX4 Autopilot Software.,990.0,35,True,1,,,,,,,,,
1,ArduPilot,ArduPilot/ardupilot,[],autopilot,https://github.com/ArduPilot/ardupilot,https://github.com/ArduPilot/ardupilot,GPL-3.0,2013-01-09 00:58:52,2025-09-11 10:35:02,2025-09-11 10:35:02,69308.0,1091.0,18479.0,677.0,23697.0,1570.0,5799.0,13483.0,2025-07-18 04:52:58,Plane-4.6.2,,,82.0,"ArduPlane, ArduCopter, ArduRover, ArduSub source.",1206.0,33,True,2,,,,,,,,,
2,airsim,microsoft/AirSim,"['NVIDIA PhysX', 'Unreal Engine', 'Unity']",aerial,https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim,mit,2017-02-14 00:52:29,2025-05-15 20:28:58,2025-05-15 20:28:57,3561.0,,4449.0,593.0,908.0,674.0,2730.0,17498.0,2022-07-18 20:11:48,1.8.1,646223.0,6731.0,30.0,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research.",243.0,32,False,1,https://microsoft.github.io/AirSim/,428.0,428.0,,,,,,
3,Paparazzi UAV,paparazzi/paparazzi,[],autopilot,https://github.com/paparazzi/paparazzi,https://github.com/paparazzi/paparazzi,GPL-2.0,2010-11-10 11:14:08,2025-09-11 15:05:53,2025-09-04 16:13:50,16562.0,61.0,933.0,162.0,2702.0,58.0,763.0,1624.0,2024-05-21 13:47:57,6.4.0_stable,12687.0,86.0,24.0,Paparazzi is a free and open-source hardware and software project for unmanned (air) vehicles. This is the main..,171.0,25,True,2,,,,,,,,,
4,Crazyflie,bitcraze/crazyflie-firmware,[],autopilot,https://github.com/bitcraze/crazyflie-firmware,https://github.com/bitcraze/crazyflie-firmware,GPL-3.0,2014-02-21 14:22:05,2025-09-11 13:34:29,2025-09-08 12:56:28,3755.0,68.0,1042.0,95.0,761.0,68.0,654.0,1351.0,2025-02-20 15:27:48,2025.02,14628.0,113.0,38.0,"The main firmware for the Crazyflie Nano Quadcopter, Crazyflie Bolt Quadcopter and Roadrunner Positioning Tag.",122.0,22,True,3,,,,,,,,,
5,MAVROS,mavlink/mavros,[],protocols,https://github.com/mavlink/mavros,https://github.com/mavlink/mavros,,2013-12-14 16:58:11,2025-09-10 10:54:43,2025-09-10 10:54:13,2960.0,23.0,981.0,50.0,539.0,398.0,1124.0,1049.0,2025-09-10 10:55:25,2.11.0,,,65.0,MAVLink to ROS gateway with proxy for Ground Control Station.,175.0,22,True,1,,,,,,,,,
6,MAVlink,mavlink/mavlink,[],protocols,https://github.com/mavlink/mavlink,https://github.com/mavlink/mavlink,,2011-08-12 06:51:52,2025-09-08 04:30:50,2025-08-22 18:31:00,3654.0,37.0,1662.0,128.0,1698.0,79.0,570.0,1990.0,,,,,,Marshalling / communication library for drones.,261.0,20,True,2,,,,,,,,,
7,Cosys-AirSim,Cosys-Lab/Cosys-AirSim,['Unreal Engine'],aerial,https://github.com/Cosys-Lab/Cosys-AirSim,https://cosys-lab.github.io/Cosys-AirSim/,mit,2022-08-22 09:24:58,2025-07-30 16:37:20,2025-04-16 10:05:50,5135.0,,78.0,10.0,32.0,38.0,39.0,222.0,2025-04-16 10:16:26,5.5-v3.3,5788.0,340.0,10.0,"AirSim is a simulator for drones, cars and more, built on Unreal Engine. We expand it with new implementations and..",261.0,20,True,1,,,,,,,,,
8,Aerostack2,aerostack2/aerostack2,[],stacks,https://github.com/aerostack2/aerostack2,https://github.com/aerostack2/aerostack2,BSD-3-Clause,2022-12-09 10:04:25,2025-09-11 14:20:32,2025-09-11 14:20:28,1917.0,28.0,56.0,8.0,485.0,57.0,255.0,227.0,2025-07-23 18:23:32,1.1.3,,,12.0,Aerostack2 is a ROS 2 framework developed to create autonomous multi-aerial-robots systems in an easy and powerful way.,19.0,19,True,1,,,,,,,,,
9,RotorS,ethz-asl/rotors_simulator,['Gazebo'],aerial,https://github.com/ethz-asl/rotors_simulator,https://github.com/ethz-asl/rotors_simulator,mit,2014-03-18 15:02:10,2024-07-15 13:12:46,2021-07-06 12:37:20,1780.0,,681.0,97.0,339.0,161.0,220.0,1381.0,,,,,,RotorS is a UAV gazebo simulator.,49.0,18,False,1,,,,,,,,,
10,Eclipse Zenoh,eclipse-zenoh/zenoh-plugin-dds,[],protocols,https://github.com/eclipse-zenoh/zenoh-plugin-dds,https://github.com/eclipse-zenoh/zenoh-plugin-dds,,2020-09-07 14:16:14,2025-09-12 00:31:27,2025-09-12 00:31:27,862.0,53.0,59.0,14.0,475.0,13.0,79.0,181.0,2025-09-04 13:50:34,1.5.1,6712.0,124.0,35.0,A zenoh plug-in that allows to transparently route DDS data. This plugin can be used by DDS applications to leverage..,33.0,18,True,3,,2.0,2.0,,,,,,
11,ROSflight,rosflight/rosflight_firmware,[],autopilot,https://github.com/rosflight/rosflight_firmware,https://github.com/rosflight/rosflight_firmware,BSD-3-Clause,2016-05-07 00:20:13,2025-09-09 17:22:46,2025-08-04 21:27:00,1789.0,33.0,47.0,13.0,226.0,20.0,210.0,143.0,2020-03-17 20:24:18,1.3.0,825.0,8.0,8.0,Firmware for the ROSflight autopilot.,23.0,18,True,3,,,,,,,,,
12,Gym Pybullet Drones,utiasDSL/gym-pybullet-drones,"['PyBulet', 'OpenGL']",aerial,https://github.com/utiasDSL/gym-pybullet-drones,https://utiasdsl.github.io/gym-pybullet-drones/,MIT,2020-08-10 07:38:09,2025-08-30 15:42:10,2025-08-30 15:42:06,809.0,6.0,436.0,18.0,53.0,107.0,108.0,1617.0,2021-03-09 21:11:22,1.0.0,,,5.0,PyBullet Gymnasium environments for single and multi-agent reinforcement learning of quadcopter control.,18.0,17,True,2,,,,,,,,,
13,Flightmare,uzh-rpg/flightmare,"['Gazebo', 'Ad hoc', 'OpenAI Gym', 'Unity']",aerial,https://github.com/uzh-rpg/flightmare,https://uzh-rpg.github.io/flightmare/,MIT,2020-07-14 12:40:25,2024-06-14 15:36:57,2023-05-15 08:41:51,139.0,,362.0,38.0,37.0,113.0,60.0,1203.0,2020-12-01 16:59:05,0.0.5,5673.0,93.0,5.0,An Open Flexible Quadrotor Simulator.,7.0,17,False,2,,,,,,,,,
